v1.0.0,,,
Solar cell current against photodiode voltage,,,
"Solar cell voltage set to 1.1V, ammeter range 0-2mA",,,
data_2015-10-27,,,
Vpd,t_Vpd,I,t_I
V,s,uA,s
0.155117646,0,233.416066,0.232685
0.155064091,0.350994,233.383909,0.583675
0.154980198,0.701994,233.053997,1.036063
0.154880792,1.154995,233.194113,1.387676
0.154938534,1.506,233.139813,1.738661
0.154954836,1.856995,233.321786,2.19099
0.154913515,2.309995,222.326741,2.542683
0.148916885,2.660997,233.951136,2.893679
0.156959116,3.113998,236.270979,3.346679
0.157552823,3.464999,236.245111,3.697669
0.157505944,3.815999,235.634103,4.150059
0.157189727,4.268995,235.220626,4.501686
0.156895146,4.619998,234.40358,4.852674
0.156628296,4.970997,235.765532,5.304673
0.156897068,5.423001,236.120403,5.655681
0.157098934,5.773998,236.253873,6.006679
0.157160178,6.226999,235.547766,6.459676
0.15701063,6.578001,234.787673,6.810678
0.156697467,6.928994,234.495014,7.26309
0.156539306,7.382,234.938845,7.614689
0.156596482,7.732993,235.22082,7.965685
0.156726673,8.083994,235.22386,8.417667
0.156746268,8.535993,235.533014,8.768677
0.156882584,8.887,235.717237,9.119679
0.157027274,9.359998,235.827535,9.592688
0.157059416,9.711001,235.591069,9.943677
0.157019228,10.061996,235.474586,10.396076
0.157013342,10.514992,235.580191,10.747671
0.157009721,10.866001,235.623568,11.098677
0.157051727,11.216998,228.99127,11.550994
0.15078032,11.669999,233.172402,11.902674
0.155066133,12.021,233.645439,12.253673
0.155293584,12.474002,234.035835,12.70667
0.155459553,12.824994,233.242393,13.057669
0.155384943,13.175998,233.210146,13.51006
0.155521825,13.629002,233.627006,13.861673
0.155618742,13.980002,233.809918,14.212679
0.155671045,14.330995,233.812064,14.664988
0.155718029,14.783997,233.697921,15.01666
0.155657232,15.134994,233.025029,15.36767
0.155399099,15.587996,234.193653,15.820668
0.156229094,15.938996,235.617414,16.171674
0.156483486,16.290003,235.257119,16.624081
0.156490505,16.742995,235.001966,16.975679
0.156521633,17.094002,234.629527,17.32668
0.155932352,17.444997,234.312713,17.778677
0.155500308,17.897003,234.256729,18.129663
0.155328333,18.247995,233.886212,18.480669
0.155158177,18.721002,233.963132,18.953658
0.155244783,19.072,234.286457,19.304676
0.155317351,19.422997,240.555838,19.757067
0.199783802,19.875996,240.465283,20.108687
0.201055005,20.227,240.832537,20.45968
0.200286031,20.577995,241.113409,20.911674
0.200860828,21.030001,240.010053,21.262663
0.200847358,21.380998,239.979491,21.613669
0.200473964,21.833997,238.325775,22.066667
0.199391842,22.185001,236.27083,22.417663
0.199183419,22.535994,237.232909,22.870058
0.198441848,22.988998,237.612844,23.221694
0.198749676,23.340002,237.813845,23.572681
0.198862106,23.690998,233.253032,24.024678
0.199097365,24.142995,232.921302,24.37567
0.199224621,24.493999,238.849014,24.726675
0.200234622,24.947002,240.940273,25.179686
0.201212257,25.297995,240.450755,25.530687
0.200589791,25.648993,240.310088,25.983066
0.200050429,26.101993,241.279259,26.334673
0.200178131,26.452999,241.035834,26.685676
0.200264633,26.803995,235.136554,27.137672
0.198777422,27.256,238.679156,27.488671
0.199962005,27.607004,239.126399,27.839671
0.20044826,28.08,240.037844,28.312668
0.200938612,28.430999,240.327746,28.663668
0.200980499,28.781997,239.55068,29.116073
0.200787693,29.234998,239.471182,29.467671
0.200507939,29.585999,239.208788,29.818669
0.200416327,29.937,239.444822,30.270996
0.200564861,30.389994,239.723638,30.622667
0.200660303,30.740998,240.106761,30.973658
0.200839639,31.194,240.475908,31.426656
0.200931117,31.544998,240.873814,31.777683
0.201324329,31.895999,242.733166,32.230063
0.202421159,32.349,240.355656,32.581689
0.202256888,32.699996,241.592869,32.932677
0.202241153,33.051002,241.669178,33.384673
0.202605814,33.503001,240.957752,33.735672
0.202569708,33.853998,241.322652,34.086671
0.201854289,34.306998,240.979165,34.539686
0.200923532,34.657994,240.330592,34.890682
0.200448588,35.008999,239.69996,35.343093
0.200835913,35.461999,241.128311,35.694679
0.204886675,35.812995,241.190106,36.045683
0.206634969,36.164,241.922945,36.498003
0.209621847,36.616993,241.155833,36.849676
0.214584127,36.967997,240.556329,37.200688
0.227199376,37.440997,244.316906,37.67367
0.230403513,37.792001,245.139644,38.024671
0.227744296,38.142993,245.763794,38.477089
0.226025105,38.596002,222.312495,38.828682
0.218249843,38.946999,230.112433,39.179679
0.233897701,39.298,232.493624,39.632004
0.256003201,39.750999,230.563208,39.983675
0.259687513,40.102001,228.401139,40.334678
0.276335984,40.554993,226.129785,40.787678
0.282667398,40.906,226.499334,41.138675
0.29271853,41.257,221.904203,41.591077
0.302931547,41.71,226.79393,41.942668
0.325486988,42.061003,230.546713,42.295789
0.378387153,42.413998,230.441019,42.747665
0.349796474,42.865993,229.585335,43.098675
0.331962526,43.216997,227.777466,43.449664
0.315761924,43.669996,231.262565,43.902682
0.311041713,44.020996,234.827816,44.253668
0.300360739,44.371996,235.808298,44.706088
0.306053281,44.824996,236.084789,45.057664
0.303072393,45.176001,235.367745,45.40867
0.302103937,45.527,233.967036,45.860987
0.302749962,45.979999,233.472586,46.212671
0.300137252,46.330999,233.607799,46.563675
0.29327929,46.803998,236.58514,47.036679
0.288208544,47.154995,236.860901,47.387662
0.287288427,47.506002,236.731306,47.84006
0.290159822,47.958998,236.271977,48.191674
0.289416909,48.310001,235.467851,48.542671
0.28352055,48.660997,236.90632,48.994666
0.287624985,49.112993,235.175565,49.345675
0.319815367,49.463996,237.048462,49.696666
0.387431413,49.916998,249.530017,50.149688
0.460243851,50.268,256.072521,50.500669
0.518147707,50.618996,272.726029,50.953066
0.637262046,51.071994,281.323195,51.304682
0.706979752,51.422997,282.204479,51.655674
0.718791962,51.773998,291.253924,52.10799
0.782428324,52.226998,298.459768,52.459675
0.820736706,52.578,298.692882,52.810681
0.846149921,53.031,306.566834,53.263669
0.884888291,53.382001,303.886324,53.614693
0.883223236,53.732998,309.297949,54.067067
0.92056483,54.186,311.790526,54.418681
0.94031781,54.537,313.625336,54.76968
0.950352192,54.888002,313.362241,55.221997
0.94381839,55.340995,311.660856,55.573665
0.927299976,55.692001,307.174385,55.924673
0.898860455,56.164995,304.833263,56.397686
0.887309313,56.515999,301.860392,56.748665
0.864858031,56.866999,297.783524,57.201062
0.839522898,57.32,304.463446,57.552661
0.894323528,57.670993,315.275222,57.903675
0.964067221,58.022,324.356318,58.355661
1.0319587,58.473997,332.598239,58.706666
1.09604979,58.824999,333.493739,59.057668
1.1125164,59.277999,332.834482,59.510661
1.09293771,59.628998,343.393952,59.86168
1.15711451,59.979996,337.663889,60.314055
1.12155104,60.432997,338.440448,60.665688
1.12477803,60.783995,343.02178,61.016668
1.15274441,61.134994,349.283308,61.468981
1.20696354,61.587992,363.59486,61.820675
1.34014225,61.939002,385.607898,62.17169
1.59163916,62.391999,430.271715,62.624683
1.88766575,62.742996,465.918511,62.975676
2.17930436,63.093995,490.96787,63.428079
2.38930964,63.547002,497.149527,63.779678
2.46515512,63.897994,508.854926,64.13067
2.53858995,64.248999,519.145787,64.582994
2.66934609,64.701996,547.683179,64.934665
2.89585614,65.053,566.460669,65.299015
3.15840387,65.538999,609.766901,65.771685
3.47307849,65.889999,638.664246,66.122686
3.11941409,73.623001,525.108993,73.956657
2.75075269,74.074998,471.775383,74.307678
2.33822989,74.426003,458.502799,74.658679
2.11045384,74.899,425.753087,75.13167
1.92952967,75.25,422.634333,75.482658
1.8688705,75.601,416.134179,75.93508
1.79255676,76.053993,407.155424,76.286681
1.72898352,76.405002,390.390784,76.63768
1.6178056,76.755996,397.207111,77.089658
1.67513454,77.208,376.23769,77.440668
1.55104399,77.558995,368.471771,77.791668
1.48461545,78.011992,365.209728,78.244671
1.45993626,78.362992,371.524751,78.595666
1.52022374,78.714,364.425957,79.048071
1.43884158,79.167,341.110349,79.399673
1.26314199,79.517998,334.680825,79.750679
1.25861526,79.869002,374.363631,80.202677
1.5751431,80.321001,389.578164,80.553672
1.68914843,80.671996,368.778884,80.904669
1.45975697,81.124996,400.520235,81.357665
1.74027121,81.475998,404.069006,81.708673
1.80834544,81.827001,408.323348,82.161072
1.86544442,82.28,413.65999,82.512677
1.92157924,82.631,427.244604,82.863681
2.02585673,82.981998,442.114502,83.315652
2.14318967,83.433999,445.732772,83.666681
2.18281984,83.785,449.288815,84.01768
2.21385312,84.257997,458.773047,84.490694
2.30870295,84.608999,474.091053,84.841672
2.45753884,84.960003,489.353091,85.294083
2.61819506,85.412998,496.081978,85.645678
2.69933271,85.763997,505.398571,85.996679
2.76711679,86.114996,510.04976,86.448982
2.81905842,86.567998,515.086114,86.800678
2.87745857,86.918996,516.801894,87.151681
2.93663526,87.371995,521.016836,87.604666
2.9831326,87.722994,517.835319,87.955672
3.00925612,88.073992,514.506996,88.408096
3.03767824,88.526999,519.811392,88.75969
3.08177876,88.877999,530.462861,89.110685
3.15206838,89.228998,536.148727,89.562984
3.19689083,89.681994,537.172914,89.914681
3.22117281,90.032994,530.670464,90.265664
3.15604568,90.485998,511.380017,90.718665
2.9908669,90.836994,481.254339,91.069685
2.74436855,91.187994,452.368259,91.522061
2.42735839,91.640996,427.699208,91.873664
2.18725014,91.991994,421.530515,92.224668
2.17619944,92.342995,488.593876,92.676664
0.316724509,93.619001,219.060197,93.851684
0.339592069,93.97,224.601582,94.202684
0.380620897,94.320998,255.575359,94.655078
0.616793692,94.773999,286.252022,95.006682
0.837748051,95.124993,287.730992,95.357685
0.878733456,95.476001,305.022359,95.809988
1.06833971,95.928993,348.148018,96.161668
1.41541064,96.28,361.790866,96.512676
1.64255381,96.732996,371.83699,96.965689
1.77111197,97.083993,401.522428,97.316675
2.01054049,97.434999,424.057782,97.769051
2.20679641,97.887997,411.119759,98.120674
2.18340278,98.238999,450.071484,98.471669
2.3426826,98.589996,487.158448,98.923678
2.74006128,99.041997,599.464715,99.274672
3.53672099,99.392996,612.73098,99.625684
3.61995053,99.846002,599.571109,100.078665
3.59122968,100.196996,612.28025,100.429691
3.61994386,100.547995,603.018463,100.882083
3.57984996,101.000991,593.152106,101.233673
3.45708275,101.351996,565.909624,101.584669
3.19839644,101.703002,510.824025,102.03667
2.70113325,102.154994,433.504373,102.387678
2.08907056,102.505998,403.88903,102.738663
1.73489654,102.979002,370.978713,103.211678
1.49366534,103.33,348.383814,103.562675
1.29822993,103.680996,336.841375,104.015071
1.19984245,104.133997,329.808503,104.366671
1.14286244,104.485,323.540539,104.717673
1.09281266,104.835997,314.538002,105.169669
1.0151428,105.287996,310.060889,105.520667
0.982652783,105.638995,310.974151,105.871677
0.97184515,106.091994,306.990564,106.324667
0.953697264,106.442997,303.690076,106.675676
0.922027886,106.794003,299.901128,107.12807
0.887368083,107.246998,293.436766,107.479664
0.845876694,107.597999,290.580362,107.830668
0.822813153,107.948993,288.173199,108.282657
0.803447485,108.401,289.237291,108.633672
0.802891254,108.751997,286.861211,108.984683
0.785067737,109.204998,282.523721,109.437679
0.758134484,109.555995,279.957384,109.788669
0.73567903,109.906999,275.604546,110.241076
0.70638597,110.359995,273.153603,110.592663
0.690038085,110.710995,270.119935,110.943673
0.670927167,111.061996,268.605918,111.395667
0.65621531,111.513995,268.669397,111.746669
0.65221262,111.865003,266.647011,112.097679
0.633552074,112.337999,265.231609,112.570663
0.622845232,112.689001,263.190776,112.921678
0.616318047,113.039993,262.790978,113.374078
0.617110372,113.493,263.970554,113.725664
0.625383437,113.843998,268.200994,114.076677
0.649631262,114.195,271.898746,114.528982
0.661537588,114.647996,271.920145,114.880661
0.650329232,114.998995,272.919148,115.231681
0.636435032,115.452001,274.537981,115.684676
0.6339522,115.802996,270.389169,116.035692
0.594699085,116.153999,264.943421,116.488086
0.54630518,116.606996,258.667231,116.83966
0.500706077,116.957995,251.487672,117.190672
0.435009807,117.309,239.356503,117.642997
0.332150966,117.761999,237.724215,117.994671
0.30665046,118.112994,237.846568,118.345681
0.304748088,118.566,237.646535,118.79867
0.304368466,118.916997,237.038776,119.149676
0.305060327,119.267999,237.678185,119.602072
0.305608749,119.721,237.637818,119.953677
0.303871781,120.071996,237.773493,120.304678
0.300006241,120.422996,238.623425,120.756671
0.297533363,120.874997,241.566747,121.107663
0.294274569,121.225999,242.204711,121.458685
0.291080832,121.699,241.977707,121.931685
0.283505648,122.049994,244.929492,122.28268
0.271549881,122.401,244.683996,122.735084
0.254838377,122.853998,243.644983,123.086686
0.226826042,123.204997,227.940291,123.437681
0.156618297,123.555995,225.682795,123.889668
0.154358283,124.007996,213.768348,124.240684
0.152286202,124.358992,198.944435,124.591659
0.137516797,124.811995,193.961501,125.044675
0.144408032,125.162994,222.103924,125.395674
0.154195935,125.513999,225.140527,125.84809
0.153378844,125.967,212.78888,126.199679
0.152539685,126.317993,203.030363,126.550674
0.151394054,126.668991,196.536198,127.002673
0.149240226,127.120999,194.823444,127.353679
0.148092657,127.471993,195.206717,127.704673
0.148168966,127.924994,194.71848,128.157678
0.148508057,128.276001,196.117967,128.508668
0.149436876,128.627003,201.378137,128.961071
0.151837185,129.079994,229.63199,129.312677
0.153996095,129.430998,231.228843,129.66368
0.155150682,129.781993,233.769894,130.115663
0.155759111,130.234002,233.645499,130.466678
0.155819103,130.584999,233.598366,130.817666
0.155926555,131.057998,233.195618,131.290668
0.155889302,131.408996,233.167112,131.641673
0.155875042,131.76,216.811463,132.094064
0.151117355,132.213,234.755561,132.445674
0.156238347,132.563997,238.615841,132.796676
0.156735331,132.914999,238.269463,133.249
0.156733066,133.368,235.298201,133.600667
0.156203449,133.719001,234.586939,133.951674
